Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Season
E0,2022-08-05,Crystal Palace,Arsenal,0,2,A,0,1,A,10,10,2,2,3,5,1,2,0,0,2022/23
E0,2022-08-06,Fulham,Liverpool,2,2,D,1,0,H,9,11,3,4,4,4,2,0,0,0,2022/23
E0,2022-08-06,Bournemouth,Aston Villa,2,0,H,1,0,H,7,15,3,2,5,5,3,3,0,0,2022/23
E0,2022-08-06,Leeds,Wolves,2,1,H,1,1,D,12,15,4,6,6,4,2,0,0,0,2022/23
E0,2022-08-06,Newcastle,Nott'm Forest,2,0,H,0,0,D,23,5,10,0,11,1,0,3,0,0,2022/23
E0,2022-08-06,Tottenham,Southampton,4,1,H,2,1,H,18,10,8,2,10,2,3,0,0,0,2022/23
E0,2022-08-06,Everton,Chelsea,0,1,A,0,1,A,8,15,4,6,4,16,3,2,0,0,2022/23
E0,2022-08-07,Leicester,Brentford,2,2,D,1,0,H,14,8,5,3,5,6,0,0,0,0,2022/23
E0,2022-08-07,Man United,Brighton,1,2,A,0,2,A,17,15,5,4,6,2,4,1,0,0,2022/23
E0,2022-08-07,West Ham,Man City,0,2,A,0,1,A,6,14,1,2,1,4,0,1,0,0,2022/23
E0,2022-08-13,Aston Villa,Everton,2,1,H,1,0,H,12,15,4,4,5,8,4,1,0,0,2022/23
E0,2022-08-13,Arsenal,Leicester,4,2,H,2,0,H,19,6,7,2,6,2,1,1,0,0,2022/23
E0,2022-08-13,Brighton,Newcastle,0,0,D,0,0,D,13,4,7,1,7,3,2,3,0,0,2022/23
E0,2022-08-13,Man City,Bournemouth,4,0,H,3,0,H,19,3,7,1,11,1,0,3,0,0,2022/23
E0,2022-08-13,Southampton,Leeds,2,2,D,0,0,D,14,13,4,5,2,5,1,3,0,0,2022/23
E0,2022-08-13,Wolves,Fulham,0,0,D,0,0,D,7,9,1,3,5,3,3,3,0,0,2022/23
E0,2022-08-13,Brentford,Man United,4,0,H,4,0,H,13,15,7,4,8,2,0,4,0,0,2022/23
E0,2022-08-14,Nott'm Forest,West Ham,1,0,H,1,0,H,13,19,6,5,6,7,4,1,0,0,2022/23
E0,2022-08-14,Chelsea,Tottenham,2,2,D,1,0,H,16,10,3,5,8,5,3,0,0,0,2022/23
E0,2022-08-15,Liverpool,Crystal Palace,1,1,D,0,1,A,24,7,4,3,4,2,2,4,1,0,2022/23
E0,2022-08-20,Tottenham,Wolves,1,0,H,0,0,D,11,20,4,3,8,6,2,2,0,0,2022/23
E0,2022-08-20,Crystal Palace,Aston Villa,3,1,H,1,1,D,17,13,9,5,4,2,2,1,0,0,2022/23
E0,2022-08-20,Everton,Nott'm Forest,1,1,D,0,0,D,19,14,8,5,6,2,3,2,0,0,2022/23
E0,2022-08-20,Fulham,Brentford,3,2,H,2,1,H,18,13,9,5,6,3,3,2,0,0,2022/23
E0,2022-08-20,Leicester,Southampton,1,2,A,0,0,D,6,9,1,3,2,5,2,3,0,0,2022/23
E0,2022-08-20,Bournemouth,Arsenal,0,3,A,0,2,A,6,14,1,6,3,4,2,1,0,0,2022/23
E0,2022-08-21,Leeds,Chelsea,3,0,H,2,0,H,12,14,6,3,4,6,0,1,0,1,2022/23
E0,2022-08-21,West Ham,Brighton,0,2,A,0,1,A,13,11,3,2,5,4,2,0,0,0,2022/23
E0,2022-08-21,Newcastle,Man City,3,3,D,2,1,H,12,21,6,10,5,5,4,2,0,0,2022/23
E0,2022-08-22,Man United,Liverpool,2,1,H,1,0,H,12,17,4,5,6,8,3,1,0,0,2022/23
E0,2022-08-27,Southampton,Man United,0,1,A,0,0,D,17,11,5,6,5,3,0,3,0,0,2022/23
E0,2022-08-27,Brentford,Everton,1,1,D,0,1,A,19,14,5,7,8,5,2,2,0,0,2022/23
E0,2022-08-27,Brighton,Leeds,1,0,H,0,0,D,13,10,4,2,5,3,2,3,0,0,2022/23
E0,2022-08-27,Chelsea,Leicester,2,1,H,0,0,D,7,17,3,5,3,11,1,2,1,0,2022/23
E0,2022-08-27,Liverpool,Bournemouth,9,0,H,5,0,H,19,5,12,2,8,1,0,1,0,0,2022/23
E0,2022-08-27,Man City,Crystal Palace,4,2,H,0,2,A,18,2,5,2,6,1,1,2,0,0,2022/23
E0,2022-08-27,Arsenal,Fulham,2,1,H,0,0,D,22,11,8,3,9,2,2,3,0,0,2022/23
E0,2022-08-28,Aston Villa,West Ham,0,1,A,0,0,D,9,7,3,2,3,2,2,0,0,0,2022/23
E0,2022-08-28,Wolves,Newcastle,1,1,D,1,0,H,10,21,4,6,4,13,2,1,0,0,2022/23
E0,2022-08-28,Nott'm Forest,Tottenham,0,2,A,0,1,A,17,18,1,7,6,1,6,1,0,0,2022/23
E0,2022-08-30,Crystal Palace,Brentford,1,1,D,0,0,D,13,9,4,3,4,6,1,2,0,0,2022/23
E0,2022-08-30,Fulham,Brighton,2,1,H,0,0,D,10,7,3,4,3,3,2,1,0,0,2022/23
E0,2022-08-30,Southampton,Chelsea,2,1,H,2,1,H,9,10,7,4,5,3,2,1,0,0,2022/23
E0,2022-08-30,Leeds,Everton,1,1,D,0,1,A,14,7,5,2,10,2,3,3,0,0,2022/23
E0,2022-08-31,Arsenal,Aston Villa,2,1,H,1,0,H,22,4,9,3,10,3,2,3,0,0,2022/23
