Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,label,home_form,away_form,form_diff,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,scored_diff,conceded_diff,h2h_home_winrate,home_advantage,home_elo,away_elo,elo_diff,home_shots_avg,away_shots_avg,shots_diff,home_sot_avg,away_sot_avg,sot_diff,home_corners_avg,away_corners_avg,corners_diff,home_rest,away_rest,rest_diff,home_streak,away_streak,streak_diff,home_season_gd,away_season_gd,season_gd_diff,home_ppg,away_ppg,ppg_diff,home_progress,away_progress
2022/23,2022-01-09,Leicester City,Manchester United,0,1,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.35714285714285715,0.6056910569105691,1575.3944266262088,1661.5241870920345,-86.12976046582571,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,4,10,-6,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,Bournemouth,Brentford,0,0,D,1,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.45,0.48947368421052634,1423.2611615069986,1487.8759648894381,-64.6148033824395,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,399,12,387,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,Crystal Palace,Chelsea,1,2,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.16666666666666666,0.44,1488.160723488008,1660.6929323341603,-172.53220884615234,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,9,5,4,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,Liverpool,Brighton,3,3,D,1,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.7,0.7926829268292683,1721.2215876501343,1505.1956981852677,216.02588946486662,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,13,12,1,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,Arsenal,Tottenham,3,1,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.7857142857142857,0.7379032258064516,1637.9838700796804,1613.6654775221234,24.31839255755699,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5,5,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,Fulham,Newcastle United,1,4,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,0.3026315789473684,1399.2319183403363,1452.2329077287059,-53.00098938836959,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,97,14,83,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,Southampton,Everton,1,2,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.6666666666666666,0.4878048780487805,1488.5265537238688,1552.1818147878262,-63.65526106395737,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,13,5,8,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-01-10,West Ham,Wolverhampton,2,0,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.3333333333333333,0.5443548387096774,1582.0258722987985,1531.7956163984127,50.23025590038583,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5,22,-17,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-02-10,Leeds United,Aston Villa,0,0,D,1,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,0.5161290322580645,1529.6926160873547,1497.617113747475,32.07550233987968,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,6,6,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2022/23,2022-02-10,Manchester City,Manchester United,6,3,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.25,0.816,1793.5984385520878,1679.1855857503622,114.41285280172565,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,6,5,1,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
